throughput	time
65168.367	2019-08-28T14:32:10.000Z
55333.534	2019-08-28T14:32:40.000Z
61986.8	2019-08-28T14:33:10.000Z
28653.633	2019-08-28T14:33:40.000Z
53973.866	2019-08-28T14:34:10.000Z
12486.133	2019-08-28T14:34:40.000Z
14495.233	2019-08-28T14:35:10.000Z
69156.433	2019-08-28T14:35:40.000Z
77339.366	2019-08-28T14:36:10.000Z
123261.5	2019-08-28T14:36:40.000Z
106480.1	2019-08-28T14:37:10.000Z
71399.033	2019-08-28T14:37:40.000Z
43016.567	2019-08-28T14:38:10.000Z
98226.967	2019-08-28T14:38:40.000Z
114939.5	2019-08-28T14:39:10.000Z
105377.8	2019-08-28T14:39:40.000Z
30557.166	2019-08-28T14:40:10.000Z
114984.1	2019-08-28T14:40:40.000Z
142444.4	2019-08-28T14:41:10.000Z
159142.567	2019-08-28T14:41:40.000Z
172395.5	2019-08-28T14:42:10.000Z
120719.367	2019-08-28T14:42:40.000Z
110313.767	2019-08-28T14:43:10.000Z
103584	2019-08-28T14:43:40.000Z
96829.567	2019-08-28T14:44:10.000Z
110127.133	2019-08-28T14:44:40.000Z
128333.334	2019-08-28T14:45:10.000Z
146516.733	2019-08-28T14:45:40.000Z
110690.867	2019-08-28T14:46:10.000Z
80268.067	2019-08-28T14:46:40.000Z
66123.833	2019-08-28T14:47:10.000Z
67649.866	2019-08-28T14:47:40.000Z
69885.166	2019-08-28T14:48:10.000Z
67493.433	2019-08-28T14:48:40.000Z
59100.467	2019-08-28T14:49:10.000Z
67377.667	2019-08-28T14:49:40.000Z
62192.334	2019-08-28T14:50:10.000Z
70898.7	2019-08-28T14:50:40.000Z
61303.333	2019-08-28T14:51:10.000Z
58854.534	2019-08-28T14:51:40.000Z
65603.133	2019-08-28T14:52:10.000Z
64668.3	2019-08-28T14:52:40.000Z
62457.934	2019-08-28T14:53:10.000Z
57510.4	2019-08-28T14:53:40.000Z
68417.7	2019-08-28T14:54:10.000Z
69165.334	2019-08-28T14:54:40.000Z
72956.2	2019-08-28T14:55:10.000Z
60349.3	2019-08-28T14:55:40.000Z
73925.6	2019-08-28T14:56:10.000Z
61903.066	2019-08-28T14:56:40.000Z
59166.367	2019-08-28T14:57:10.000Z
63140.466	2019-08-28T14:57:40.000Z
56590.167	2019-08-28T14:58:10.000Z
64343.8	2019-08-28T14:58:40.000Z
70299.2	2019-08-28T14:59:10.000Z
60051.934	2019-08-28T14:59:40.000Z
63234.3	2019-08-28T15:00:10.000Z
68965.2	2019-08-28T15:00:40.000Z
73367.833	2019-08-28T15:01:10.000Z
50298.467	2019-08-28T15:01:40.000Z
62393.433	2019-08-28T15:02:10.000Z
60878.067	2019-08-28T15:02:40.000Z
62576.8	2019-08-28T15:03:10.000Z
61023.7	2019-08-28T15:03:40.000Z
29687.833	2019-08-28T15:04:10.000Z
86479.9	2019-08-28T15:04:40.000Z
75310.167	2019-08-28T15:05:10.000Z
65800.733	2019-08-28T15:05:40.000Z
74491.334	2019-08-28T15:06:10.000Z
72757.2	2019-08-28T15:06:40.000Z
66738.133	2019-08-28T15:07:10.000Z
69753.866	2019-08-28T15:07:40.000Z
75233.367	2019-08-28T15:08:10.000Z
81049.867	2019-08-28T15:08:40.000Z
76821.2	2019-08-28T15:09:10.000Z
105680.1	2019-08-28T15:09:40.000Z
81826.067	2019-08-28T15:10:10.000Z
68111.233	2019-08-28T15:10:40.000Z
80069.233	2019-08-28T15:11:10.000Z
70763.466	2019-08-28T15:11:40.000Z
65013.767	2019-08-28T15:12:10.000Z
59589.9	2019-08-28T15:12:40.000Z
64746.234	2019-08-28T15:13:10.000Z
68430.467	2019-08-28T15:13:40.000Z
59813.967	2019-08-28T15:14:10.000Z
64218.233	2019-08-28T15:14:40.000Z
59747.333	2019-08-28T15:15:10.000Z
62915.667	2019-08-28T15:15:40.000Z
72268.2	2019-08-28T15:16:10.000Z
57312.6	2019-08-28T15:16:40.000Z
61868.333	2019-08-28T15:17:10.000Z
101091.867	2019-08-28T15:17:40.000Z
107873.9	2019-08-28T15:18:10.000Z
111415.567	2019-08-28T15:18:40.000Z
166209.833	2019-08-28T15:19:10.000Z
235153.967	2019-08-28T15:19:40.000Z
139642.634	2019-08-28T15:20:10.000Z
188666.634	2019-08-28T15:20:40.000Z
184008.3	2019-08-28T15:21:10.000Z
141702.334	2019-08-28T15:21:40.000Z
108646.133	2019-08-28T15:22:10.000Z
78512.234	2019-08-28T15:22:40.000Z
76298	2019-08-28T15:23:10.000Z
87088.033	2019-08-28T15:23:40.000Z
80722.233	2019-08-28T15:24:10.000Z
81052.833	2019-08-28T15:24:40.000Z
98741.167	2019-08-28T15:25:10.000Z
91080.6	2019-08-28T15:25:40.000Z
70269.067	2019-08-28T15:26:10.000Z
78943.5	2019-08-28T15:26:40.000Z
81134.7	2019-08-28T15:27:10.000Z
107708.9	2019-08-28T15:27:40.000Z
70837.434	2019-08-28T15:28:10.000Z
86268.734	2019-08-28T15:28:40.000Z
71239.3	2019-08-28T15:29:10.000Z
71509.8	2019-08-28T15:29:40.000Z
145989.1	2019-08-28T15:30:10.000Z
172597.134	2019-08-28T15:30:40.000Z
172335.267	2019-08-28T15:31:10.000Z
74724.566	2019-08-28T15:31:40.000Z
79145.133	2019-08-28T15:32:10.000Z
